"countryname","region","deaths.1000.live.births","years","deaths.100000.live.births"
"afghanistan","South Asia",101.3,54.4,521
"albania","Europe",10.3,79.9,7
"algeria","Africa",18.7,77.9,62
"american-samoa","Australia and Oceania",9.7,75.8,NA
"andorra","Europe",3.3,83.8,11
"angola","Africa",55.6,62.9,183
"anguilla","Central America and the Caribbean",3,82.6,NA
"antigua-and-barbuda","Central America and the Caribbean",13.6,78.3,35
"argentina","South America",9,78.8,33
"armenia","Central Asia",11.6,76.7,19
"aruba","Central America and the Caribbean",11.5,78.5,NA
"australia","Australia and Oceania",2.9,83.5,2
"austria","Europe",3.2,82.7,6
"azerbaijan","Central Asia",10.9,75.9,18
"bahamas-the","Central America and the Caribbean",9.4,76.7,76
"bahrain","Middle East",9.7,80.4,17
"bangladesh","South Asia",28.8,75.2,115
"barbados","Central America and the Caribbean",9.6,79,35
"belarus","Europe",2.1,74.7,1
"belgium","Europe",3.1,82.3,4
"belize","Central America and the Caribbean",11.3,74.3,67
"benin","Africa",52.9,63,518
"bermuda","North America",2.1,82.5,NA
"bhutan","South Asia",24.3,73.7,47
"bolivia","South America",22.3,72.5,146
"bosnia-and-herzegovina","Europe",5,78.5,6
"botswana","Africa",23.7,66.4,155
"brazil","South America",12.9,76.3,67
"british-virgin-islands","Central America and the Caribbean",13.4,80.1,NA
"brunei","East and Southeast Asia",10,78.9,36
"bulgaria","Europe",7.7,76.1,6
"burkina-faso","Africa",47,64.2,242
"burma","East and Southeast Asia",32.1,70.3,185
"burundi","Africa",35.7,68.1,392
"cabo-verde","Africa",22.4,74.3,40
"cambodia","East and Southeast Asia",27.9,71.4,137
"cameroon","Africa",46.1,64.2,258
"canada","North America",4.3,84.2,12
"cayman-islands","Central America and the Caribbean",7.3,82.5,NA
"central-african-republic","Africa",80.5,56.4,692
"chad","Africa",62.5,60,748
"chile","South America",6.3,80.3,10
"china","East and Southeast Asia",6.2,78.7,16
"colombia","South America",11.7,74.9,59
"comoros","Africa",54.9,67.8,179
"congo-democratic-republic-of-the","Africa",57.4,62.6,427
"congo-republic-of-the","Africa",30.6,72.9,241
"cook-islands","Australia and Oceania",15.1,77.6,0
"costa-rica","Central America and the Caribbean",6.7,80.3,24
"cote-divoire","Africa",52.5,63.2,359
"croatia","Europe",8.4,77.7,3
"cuba","Central America and the Caribbean",4,80.1,35
"curacao","Central America and the Caribbean",7.5,79.9,NA
"cyprus","Europe",8.1,80.2,14
"czechia","Europe",2.6,78.6,3
"denmark","Europe",3,82.1,4
"djibouti","Africa",45.2,65.9,162
"dominica","Central America and the Caribbean",10.7,78.7,36
"dominican-republic","Central America and the Caribbean",21.7,72.6,124
"ecuador","South America",11.2,74.9,55
"egypt","Africa",16.8,75,17
"el-salvador","Central America and the Caribbean",11.7,75.9,39
"equatorial-guinea","Africa",77.4,63.9,174
"eritrea","Africa",39.8,67.5,291
"estonia","Europe",3.3,78.4,5
"eswatini","Africa",36.7,60.7,118
"ethiopia","Africa",32.6,67.7,195
"faroe-islands","Europe",5.7,81.7,NA
"fiji","Australia and Oceania",9.7,74.8,30
"finland","Europe",2.1,82.2,8
"france","Europe",3.1,82.6,7
"french-polynesia","Australia and Oceania",4.3,78.9,NA
"gabon","Africa",26.9,70.4,233
"gambia-the","Africa",35.7,68.4,354
"gaza-strip","Middle East",15.1,75.5,16
"georgia","Central Asia",21.7,72.8,20
"germany","Europe",3.1,81.9,4
"ghana","Africa",31.2,70.1,234
"gibraltar","Europe",6,80.9,NA
"greece","Europe",3.4,81.9,5
"greenland","North America",8.5,74.5,NA
"grenada","Central America and the Caribbean",9,76.3,48
"guam","Australia and Oceania",10.9,78,NA
"guatemala","Central America and the Caribbean",25,73.5,94
"guernsey","Europe",3.3,83.6,NA
"guinea","Africa",47,64.6,494
"guinea-bissau","Africa",46.4,64.5,505
"guyana","South America",21.1,72.4,75
"haiti","Central America and the Caribbean",36.8,65.6,328
"honduras","Central America and the Caribbean",15.4,73.1,47
"hong-kong","East and Southeast Asia",2.5,84,NA
"hungary","Europe",4.7,76,12
"iceland","Europe",1.6,84,3
"india","South Asia",30.4,68.2,80
"indonesia","East and Southeast Asia",18.9,73.6,140
"iran","Middle East",14.3,75.6,16
"iraq","Middle East",18.7,73.7,66
"ireland","Europe",3.3,82,4
"isle-of-man","Europe",4.1,82.5,NA
"israel","Middle East",2.8,83.1,2
"italy","Europe",3.1,83,6
"jamaica","Central America and the Caribbean",10.7,76.3,130
"japan","East and Southeast Asia",1.9,85.2,3
"jersey","Europe",3.7,83,NA
"jordan","Middle East",13.2,76.5,31
"kazakhstan","Central Asia",8,73.3,10
"kenya","Africa",26.1,70.4,379
"kiribati","Australia and Oceania",31.5,68.5,80
"korea-north","East and Southeast Asia",15.4,73.5,67
"korea-south","East and Southeast Asia",2.8,83.4,4
"kosovo","Europe",22.9,73.1,NA
"kuwait","Middle East",7.2,79.6,8
"kyrgyzstan","Central Asia",24.5,72.9,42
"laos","East and Southeast Asia",35.4,69,112
"latvia","Europe",4.7,76.4,19
"lebanon","Middle East",6.7,79.2,15
"lesotho","Africa",45.7,60.2,478
"liberia","Africa",55.7,61.6,628
"libya","Africa",10.7,77.7,59
"liechtenstein","Europe",3.9,83,NA
"lithuania","Europe",3.6,76.1,8
"luxembourg","Europe",3.2,83.4,12
"macau","East and Southeast Asia",4.4,85.3,NA
"madagascar","Africa",37.5,68.8,445
"malawi","Africa",31.9,73,225
"malaysia","East and Southeast Asia",6.4,76.6,26
"maldives","South Asia",24.4,77.4,32
"mali","Africa",57.4,63.2,367
"malta","Europe",4.4,83.6,8
"marshall-islands","Australia and Oceania",20.6,75.2,155
"mauritania","Africa",48.9,65.9,381
"mauritius","Africa",11.6,75.4,66
"mexico","North America",12.1,74.6,42
"micronesia-federated-states-of","Australia and Oceania",20.9,75,129
"moldova","Europe",13.8,70.1,19
"monaco","Europe",1.7,89.8,5
"mongolia","East and Southeast Asia",19.4,71.9,41
"montenegro","Europe",3.2,78.2,6
"montserrat","Central America and the Caribbean",9.7,76.1,NA
"morocco","Africa",18.3,74.2,70
"mozambique","Africa",58.2,58.3,82
"namibia","Africa",27.9,65.9,139
"nauru","Australia and Oceania",7.6,68.6,273
"nepal","South Asia",24,73,142
"netherlands","Europe",3.6,81.9,4
"new-caledonia","Australia and Oceania",4.8,79.3,NA
"new-zealand","Australia and Oceania",3.3,82.9,7
"nicaragua","Central America and the Caribbean",14.4,74.7,60
"niger","Africa",64.3,60.9,350
"nigeria","Africa",53.7,62.2,993
"north-macedonia","Europe",7,77.3,3
"northern-mariana-islands","Australia and Oceania",11.9,77.1,NA
"norway","Europe",1.8,82.9,1
"oman","Middle East",13.9,77.4,13
"pakistan","South Asia",51.5,70.3,155
"palau","Australia and Oceania",10.8,75.2,89
"panama","Central America and the Caribbean",14.2,79.2,37
"papua-new-guinea","East and Southeast Asia",32,70.1,189
"paraguay","South America",22,78.8,58
"peru","South America",10.8,68.9,51
"philippines","East and Southeast Asia",22,70.8,84
"poland","Europe",4.9,76.7,2
"portugal","Europe",2.4,81.9,15
"puerto-rico","Central America and the Caribbean",5.8,82.1,11
"qatar","Middle East",6.4,80.3,4
"romania","Europe",5.5,76.9,12
"russia","Central Asia",6.5,72.3,9
"rwanda","Africa",24.9,66.6,229
"saint-barthelemy","Central America and the Caribbean",6.5,81,NA
"saint-helena-ascension-and-tristan-da-cunha","Africa",18.1,80.9,NA
"saint-kitts-and-nevis","Central America and the Caribbean",8,77.6,74
"saint-lucia","Central America and the Caribbean",11.5,79.4,44
"saint-martin","Central America and the Caribbean",6.5,81,NA
"saint-pierre-and-miquelon","North America",7.8,81.8,NA
"saint-vincent-and-the-grenadines","Central America and the Caribbean",12.3,77.2,56
"samoa","Australia and Oceania",17.3,75.7,101
"san-marino","Europe",6.2,84.2,8
"sao-tome-and-principe","Africa",42.6,67.7,75
"saudi-arabia","Middle East",11.7,77.2,7
"senegal","Africa",31.1,70.6,237
"serbia","Europe",4.5,75.3,11
"seychelles","Africa",10.2,76.6,42
"sierra-leone","Africa",71.2,59.4,354
"singapore","East and Southeast Asia",1.5,86.7,6
"sint-maarten","Central America and the Caribbean",7.6,79.7,NA
"slovakia","Europe",5.1,77.2,4
"slovenia","Europe",1.5,82.2,3
"solomon-islands","Australia and Oceania",19.1,77.2,123
"somalia","Africa",83.6,56.5,563
"south-africa","Africa",21.9,71.9,118
"south-sudan","Africa",60.1,60.3,692
"spain","Europe",2.4,83,3
"sri-lanka","South Asia",6.8,76.8,18
"sudan","Africa",40.6,67.8,256
